date,temperature (celsius),precipitation (mm/day),flow_observed (mm/day)
11/29/2003,-0.141666667,0.762,1.8893155
11/30/2003,5.586111111,0,1.676358099
12/1/2003,1.763888889,0,1.31057077
12/2/2003,-0.358333333,0,1.081120759
12/3/2003,4.436111111,0,0.922405574
12/4/2003,3.986111111,14.986,1.713930533
12/5/2003,4.308333333,7.366,2.406650945
12/6/2003,2.016666667,0.508,2.159873454
12/7/2003,0.797222222,0,1.572827203
12/8/2003,2.536111111,0,1.248442119
12/9/2003,7.469444444,0,1.039308825
12/10/2003,8.202777778,16.002,1.440235571
12/11/2003,1.652777778,0.254,2.062322346
12/12/2003,-0.052777778,0,1.533380149
12/13/2003,-1.902777778,0,1.224202077
12/14/2003,1.477777778,12.954,1.767682218
12/15/2003,2.433333333,0,2.253161587
12/16/2003,6.755555556,8.128,2.016897544
12/17/2003,-0.116666667,3.556,2.136382244
12/18/2003,-1.136111111,6.858,2.440397148
12/19/2003,-1.536111111,0,2.738123228
12/20/2003,-4.861111111,0,1.850836039
12/21/2003,-3.133333333,0,1.410341724
12/22/2003,0.308333333,5.842,1.42520961
12/23/2003,6.95,6.858,1.662790556
12/24/2003,1.7,1.778,1.776728082
12/25/2003,-2.908333333,0,1.624676042
12/26/2003,-2.525,0,1.281095464
12/27/2003,-0.547222222,0,1.061390299
12/28/2003,5.019444444,0,0.90819939
12/29/2003,7.391666667,6.096,0.934689945
12/30/2003,2.116666667,6.096,1.123984677
12/31/2003,2.683333333,0.254,1.309684206
1/1/2004,3.933333333,0.762,1.103550324
1/2/2004,8.980555556,44.704,12.41701511
1/3/2004,16.4,0.508,7.537699524
1/4/2004,16.41111111,0.508,2.50237414
1/5/2004,10.41666667,21.082,4.302414002
1/6/2004,-3.791666667,0,4.150154298
1/7/2004,-6.825,0,2.260573812
1/8/2004,-3.575,0,1.620369282
1/9/2004,-1.836111111,0,1.276258665
1/10/2004,-7.102777778,0,1.057722357
1/11/2004,-2.969444444,3.048,1.020749926
1/12/2004,4.894444444,0.254,1.032121686
1/13/2004,3.155555556,0,0.886510423
1/14/2004,2.547222222,2.286,0.756643896
1/15/2004,0.433333333,0.254,0.714280606
1/16/2004,-0.316666667,0,0.643151827
1/17/2004,2.261111111,4.572,0.628557685
1/18/2004,2.738888889,22.606,3.716269469
1/19/2004,-3.361111111,0,2.895830158
1/20/2004,-4.775,0,1.891097944
1/21/2004,-3.130555556,0,1.429882914
1/22/2004,-0.852777778,0,1.157796389
1/23/2004,-3.619444444,0,0.976262588
1/24/2004,3.111111111,0,0.845528932
1/25/2004,-1.463888889,6.35,0.877161431
1/26/2004,8.761111111,1.27,1.056277116
1/27/2004,0.855555556,4.572,1.029843516
1/28/2004,-3.6,0,1.104042577
1/29/2004,0.047222222,0,0.937897729
1/30/2004,-5.155555556,0,0.817217673
1/31/2004,-8.295555556,1.524,0.722256713
2/1/2004,-1.833333333,0,0.698587358
2/2/2004,-0.3,16.764,1.350074076
2/3/2004,2.736111111,4.064,2.595320988
2/4/2004,1.369444444,0,2.205647262
2/5/2004,0.338888889,43.688,13.60240978
2/6/2004,6.666666667,24.384,15.39215535
2/7/2004,0.025,1.27,6.029401771
2/8/2004,0.286111111,0,3.934999116
2/9/2004,1.466666667,0,2.205036974
2/10/2004,3.975,0.254,1.594501459
2/11/2004,2.3,0,1.261624079
2/12/2004,4.355555556,0,1.048251388
2/13/2004,3.966666667,0,0.898689191
2/14/2004,3.322222222,0,0.787575952
2/15/2004,1.672222222,0,0.701555468
2/16/2004,-0.083333333,0,0.632874855
2/17/2004,1.591666667,0.508,0.576705397
2/18/2004,2.65,0,0.529873983
2/19/2004,6.016666667,0,0.490205314
2/20/2004,6.422222222,1.27,0.456156054
2/21/2004,5.852777778,0,0.426599638
2/22/2004,4.483333333,0,0.400693767
2/23/2004,6.269444444,0,0.377795629
2/24/2004,6.144444444,1.524,0.349446198
2/25/2004,3.841666667,0,0.340772592
2/26/2004,3.697222222,0,0.324141301
2/27/2004,4.455555556,2.286,0.305110151
2/28/2004,5.733333333,0,0.301168608
2/29/2004,8.527777778,0,0.288428427
3/1/2004,10.28333333,0.762,0.276466505
3/2/2004,12.20833333,5.334,0.26985949
3/3/2004,9.347222222,0,0.271109715
3/4/2004,15.33611111,0,0.260583902
3/5/2004,17.59722222,29.972,1.126584774
3/6/2004,9.636111111,16.002,1.380072398
3/7/2004,8.022222222,0.508,2.128697077
3/8/2004,3,0,1.686787815
3/9/2004,3.719444444,0,1.315413718
3/10/2004,3.488888889,0,1.084344346
3/11/2004,4.147222222,0,0.924718053
3/12/2004,4.044444444,0,0.807294851
3/13/2004,3.166666667,0,0.717041195
3/14/2004,8.933333333,0,0.645375207
3/15/2004,8.263888889,0.508,0.587017702
3/16/2004,8.113888889,16.002,0.682615689
3/17/2004,4.627777778,0,0.758306913
3/18/2004,9.216666667,0,0.678788069
3/19/2004,8.266666667,0,0.614387114
3/20/2004,11.925,10.922,0.647487629
3/21/2004,5.094444444,0,0.745494209
3/22/2004,-0.433333333,0,0.683252012
3/23/2004,3.686111111,0,0.617331216
3/24/2004,12.41111111,0.762,0.563826863
3/25/2004,15.17777778,0,0.519021941
3/26/2004,16.48888889,0,0.480931545
3/27/2004,15.37222222,0.508,0.448136336
3/28/2004,16.82222222,0,0.419593435
3/29/2004,17.26388889,0,0.394518737
3/30/2004,13.13888889,16.51,0.459869878
3/31/2004,7.269444444,0.508,0.452194465
4/1/2004,6.791666667,0.762,0.423195991
4/2/2004,5.313888889,10.16,0.465817379
4/3/2004,12.12777778,0.254,0.521662273
4/4/2004,5.258333333,0,0.501238338
4/5/2004,4.491666667,0,0.465667619
4/6/2004,8.813888889,0,0.43488702
4/7/2004,14.33333333,0,0.407981051
4/8/2004,16.725,0,0.384255031
4/9/2004,11.58055556,0,0.363171988
4/10/2004,12.15555556,0,0.344310106
4/11/2004,12.26666667,1.27,0.327333292
4/12/2004,8.527777778,28.448,1.35321808
4/13/2004,9.136111111,30.226,4.273507947
4/14/2004,7.891666667,5.588,4.920739977
4/15/2004,10.67222222,0,4.018841181
4/16/2004,14.81388889,0,2.229196628
4/17/2004,17.05555556,0,1.606843217
4/18/2004,19.40277778,0,1.269087051
4/19/2004,18.76666667,0,1.053297158
4/20/2004,17.6,0.254,0.902346157
4/21/2004,17.11388889,0,0.790356202
4/22/2004,20.13333333,1.27,0.70374466
4/23/2004,17.32222222,6.096,0.630922465
4/24/2004,19.85833333,0.254,0.609374762
4/25/2004,19.46111111,4.572,0.542014104
4/26/2004,13.67222222,8.128,0.534999448
4/27/2004,9.044444444,0,0.534283439
4/28/2004,11.34166667,0,0.494066156
4/29/2004,15.74166667,0,0.459488128
4/30/2004,15.65,0.508,0.429505589
5/1/2004,18.34722222,0,0.403251124
5/2/2004,10.61388889,14.986,0.44573408
5/3/2004,7.969444444,0,0.450441072
5/4/2004,10.14444444,0,0.421819168
5/5/2004,17.74722222,0,0.396481845
5/6/2004,18.78888889,0,0.374055701
5/7/2004,19.46388889,0,0.354062195
5/8/2004,21.59166667,0,0.336122816
5/9/2004,20.83333333,0,0.319934132
5/10/2004,21.08055556,0,0.305249983
5/11/2004,21.55,0,0.291868519
5/12/2004,21.17777778,0,0.279622627
5/13/2004,20.65555556,0,0.268372735
5/14/2004,21.53333333,0,0.258001348
5/15/2004,19.28333333,5.08,0.248762676
5/16/2004,20.27777778,13.97,0.2846603
5/17/2004,21.60555556,0,0.281755702
5/18/2004,21.88055556,0,0.270376148
5/19/2004,20.98055556,9.144,0.265305346
5/20/2004,21.69166667,0,0.271878082
5/21/2004,22.68888889,0,0.26242059
5/22/2004,23.54722222,0,0.252499841
5/23/2004,22.14166667,0,0.243308366
5/24/2004,22.14166667,24.892,0.32426437
5/25/2004,22.61111111,0.254,0.324511056
5/26/2004,21.42222222,20.574,0.613828779
5/27/2004,22.025,41.402,4.249840701
5/28/2004,20.20555556,23.114,8.988972409
5/29/2004,20.05,0,8.275315056
5/30/2004,18.60277778,55.88,16.57192253
5/31/2004,19.83888889,16.764,14.18903949
6/1/2004,19.34444444,2.794,7.755463702
6/2/2004,20.26111111,2.286,2.490515828
6/3/2004,19.24166667,0,1.725377559
6/4/2004,15.79166667,29.718,5.5857039
6/5/2004,17.19444444,0,3.688052479
6/6/2004,17.13888889,0,2.140421767
6/7/2004,19.42222222,0,1.563098747
6/8/2004,22.43055556,0,1.242493948
6/9/2004,23.59166667,0,1.035260992
6/10/2004,24.08888889,0,0.889247045
6/11/2004,24.59166667,14.986,0.841859888
6/12/2004,25.02222222,0.508,0.82271933
6/13/2004,24.19722222,0,0.729194422
6/14/2004,24.71388889,4.826,0.655143434
6/15/2004,22.59444444,43.434,2.11927639
6/16/2004,24.85555556,0,2.640274633
6/17/2004,24.73055556,0,1.860237043
6/18/2004,24.37222222,0,1.41554967
6/19/2004,21.16111111,3.048,1.149855965
6/20/2004,19.33055556,0,0.971196983
6/21/2004,19.96388889,0,0.842104161
6/22/2004,23.44444444,10.668,0.742930873
6/23/2004,20.14722222,6.604,0.72655689
6/24/2004,22.48055556,0,0.693475427
6/25/2004,19.67222222,23.876,0.762018779
6/26/2004,18.09444444,1.016,0.802799535
6/27/2004,18.79722222,0,0.718720262
6/28/2004,18.95,0,0.646726966
6/29/2004,20.68333333,0,0.588130467
6/30/2004,22.18333333,0,0.539465386
7/1/2004,22.86666667,0,0.49837618
7/2/2004,24.20277778,5.588,0.450288498
7/3/2004,23.59166667,2.032,0.43579714
7/4/2004,23.19166667,10.668,0.426998402
7/5/2004,23.80277778,0,0.425772639
7/6/2004,23.50277778,13.716,0.447444613
7/7/2004,23.1,3.048,0.439097976
7/8/2004,23.26111111,0,0.411693878
7/9/2004,23.79444444,0,0.387540576
7/10/2004,24.94166667,5.588,0.357237072
7/11/2004,24.50833333,0,0.347958532
7/12/2004,24.78888889,1.524,0.330653036
7/13/2004,25.04444444,0.254,0.314980706
7/14/2004,22.80277778,0,0.300742598
7/15/2004,20.56388889,0,0.287749136
7/16/2004,20.52777778,0,0.275842901
7/17/2004,20.79166667,8.128,0.276813121
7/18/2004,22.11111111,0,0.272826548
7/19/2004,21.21111111,0,0.262112813
7/20/2004,21.95,0,0.252215099
7/21/2004,22.66388889,0,0.243044152
7/22/2004,23.17777778,12.954,0.262462834
7/23/2004,24.95277778,0,0.261682395
7/24/2004,21.43888889,0,0.251948591
7/25/2004,22.76944444,3.556,0.242796837
7/26/2004,24.59444444,25.908,0.609331103
7/27/2004,21.775,12.954,0.357976824
7/28/2004,19.89722222,0,0.359532281
7/29/2004,21.58333333,1.016,0.341215522
7/30/2004,24.87777778,0,0.324538748
7/31/2004,21.76666667,12.954,0.341045702
8/1/2004,24.89444444,0,0.343873866
8/2/2004,24.33888889,0,0.327466755
8/3/2004,24.55555556,0,0.312091449
8/4/2004,24.21388889,6.604,0.296922682
8/5/2004,19.03611111,22.86,0.381261534
8/6/2004,16.89722222,0,0.393403285
8/7/2004,17.62222222,0,0.373270182
8/8/2004,18.76666667,0,0.353359423
8/9/2004,19.675,0,0.335490274
8/10/2004,21.71111111,0,0.31936172
8/11/2004,22.91388889,0,0.304729458
8/12/2004,16.52222222,24.384,0.695894635
8/13/2004,17.64722222,0,0.402915197
8/14/2004,17.425,0,0.380066998
8/15/2004,18.325,0,0.359434739
8/16/2004,19.88888889,0,0.340954032
8/17/2004,19.91111111,0,0.324302492
8/18/2004,21.60277778,0,0.309219413
8/19/2004,23.98333333,0,0.295491636
8/20/2004,22.20555556,0,0.282943142
8/21/2004,19.11666667,2.54,0.271427268
8/22/2004,20.68888889,0,0.260820813
8/23/2004,22.92777778,0,0.25101951
8/24/2004,23.20833333,9.652,0.263261185
8/25/2004,23.61944444,1.524,0.255809503
8/26/2004,23.38333333,0,0.246379737
8/27/2004,24.475,0,0.23762452
8/28/2004,25.425,6.858,0.231012606
8/29/2004,24.73055556,1.524,0.229196749
8/30/2004,23.70277778,0,0.221614043
8/31/2004,21.29444444,0,0.214517664
9/1/2004,19.54444444,0,0.207865033
9/2/2004,20.66111111,0.762,0.201615591
9/3/2004,22.20555556,0,0.195733593
9/4/2004,24.3,0,0.190187412
9/5/2004,23.70555556,0,0.184948961
9/6/2004,22.39444444,0,0.179993211
9/7/2004,20.09444444,21.59,0.497682049
9/8/2004,19.84722222,70.612,10.93599209
9/9/2004,18.79722222,0.762,4.17952977
9/10/2004,21.08611111,0,2.262710599
9/11/2004,21.28333333,0,1.622993072
9/12/2004,22.16388889,0,1.278805694
9/13/2004,22.30277778,0,1.05984955
9/14/2004,22.75555556,0,0.907086239
9/15/2004,22.34444444,0,0.793955124
9/16/2004,20.44722222,11.938,0.743492629
9/17/2004,18.08888889,69.85,18.42860642
9/18/2004,17.01388889,0,7.858007861
9/19/2004,15.09166667,0,2.479171832
9/20/2004,15.79722222,0,1.722616907
9/21/2004,18.01388889,0,1.337589156
9/22/2004,20.11666667,0,1.099039434
9/23/2004,21.39444444,0,0.935229422
9/24/2004,22.24166667,0,0.815212082
9/25/2004,21.775,0,0.723231916
9/26/2004,17.98055556,0,0.650355651
9/27/2004,18.22777778,0,0.591115291
9/28/2004,18.78888889,0,0.541965613
9/29/2004,16.1,0,0.50050217
9/30/2004,17.05555556,0,0.465033966
10/1/2004,18.76666667,0,0.434335666
10/2/2004,17.40277778,10.414,0.447224112
10/3/2004,16.86944444,0,0.438763311
10/4/2004,16.575,0,0.411398278
10/5/2004,13.93888889,0,0.38727913
10/6/2004,12.64722222,0,0.365867643
10/7/2004,15.375,0,0.34672847
10/8/2004,15.77222222,0,0.329515367
10/9/2004,16.00277778,0,0.313949408
10/10/2004,15.54166667,0,0.299803321
10/11/2004,12.44444444,0,0.28689001
10/12/2004,15.88611111,7.874,0.285592793
10/13/2004,15.79444444,20.066,0.361865153
10/14/2004,12.75555556,0.762,0.377817468
10/15/2004,7.827777778,3.048,0.356659557
10/16/2004,8.175,2.54,0.347415714
10/17/2004,8.697222222,0,0.341417215
10/18/2004,11.93333333,18.288,0.73627436
10/19/2004,18.125,21.336,1.688321716
10/20/2004,18.60555556,0,2.415788418
10/21/2004,18.26944444,0,1.698065718
10/22/2004,15.94722222,0,1.323287977
10/23/2004,15.22777778,8.636,1.082384606
10/24/2004,18.26111111,0,1.043194823
10/25/2004,17.76944444,0,0.895191709
10/26/2004,15.88333333,0,0.784913943
10/27/2004,17.48055556,36.83,3.746225283
10/28/2004,19.49444444,0.254,4.071231294
10/29/2004,20.88055556,0.508,2.234950045
10/30/2004,18.77222222,0,1.609629794
10/31/2004,16.44722222,0,1.270767759
11/1/2004,20.81111111,0,1.054431797
11/2/2004,19.44166667,0,0.903167682
11/3/2004,15.10555556,0.508,0.790980334
11/4/2004,14.25555556,38.354,2.329166802
11/5/2004,8.275,0,3.483382648
11/6/2004,9.844444444,0,2.195888201
11/7/2004,13.23055556,0,1.589479906
11/8/2004,6.438888889,0,1.258578642
11/9/2004,6.069444444,0,1.046188803
11/10/2004,9.605555556,0,0.897192612
11/11/2004,10.15833333,1.27,0.786437234
11/12/2004,8.488888889,14.732,0.816360724
11/13/2004,5.408333333,0,0.943652141
11/14/2004,6.144444444,0,0.859870352
11/15/2004,6.913888889,0,0.757864758
11/16/2004,8.872222222,0,0.678041405
11/17/2004,12.13055556,0,0.613778589
11/18/2004,13.68333333,0.508,0.560874688
11/19/2004,16,6.096,0.528164556
11/20/2004,15.01944444,6.35,0.52548743
11/21/2004,13.15555556,0,0.513860822
11/22/2004,13.55277778,0,0.47658685
11/23/2004,14.26388889,2.032,0.431320735
11/24/2004,15.25555556,10.668,0.528972209
11/25/2004,5.669444444,0.508,0.5674442
11/26/2004,3.819444444,0,0.517848305
11/27/2004,6.394444444,3.81,0.499537619
11/28/2004,4.658333333,1.27,0.482952011
11/29/2004,4.688888889,0,0.464988193
11/30/2004,8.347222222,34.798,3.511189565
12/1/2004,6.291666667,7.62,5.526425495
12/2/2004,2.622222222,0,4.160155487
12/3/2004,2.833333333,0,2.256699271
12/4/2004,3.188888889,0.254,1.618493353
12/5/2004,4.208333333,0.254,1.276103209
12/6/2004,9.680555556,14.986,1.463741014
12/7/2004,17.10833333,8.636,2.920646609
12/8/2004,8.808333333,0,2.62121099
12/9/2004,7.322222222,32.766,10.85400499
12/10/2004,9.816666667,6.096,5.356834554
12/11/2004,5.216666667,5.08,4.038806731
12/12/2004,5.869444444,0.254,3.280099589
12/13/2004,3.652777778,0,2.022907377
12/14/2004,-2.180555556,0,1.502996429
12/15/2004,-3.641666667,0,1.205310814
12/16/2004,-0.658333333,0,1.00977847
12/17/2004,0.708333333,0,0.870610549
12/18/2004,0.983333333,0,0.766121531
12/19/2004,-5.097222222,0.254,0.655907477
12/20/2004,-10.31694444,0,0.624620689
12/21/2004,1.272222222,0,0.56987439
12/22/2004,6.130555556,0.762,0.52412321
12/23/2004,3.747222222,14.224,0.755907516
12/24/2004,-6.138888889,0,1.022776713
12/25/2004,-5.680555556,0.254,0.845277368
12/26/2004,-1.711111111,0,0.795689072
12/27/2004,-5.586111111,0,0.706913547
12/28/2004,-0.488888889,0,0.636843743
12/29/2004,4.594444444,0,0.579773369
12/30/2004,10.25277778,0,0.53245287
12/31/2004,9.358333333,0,0.492404614
1/1/2005,12.325,2.032,0.44580458
1/2/2005,9.158333333,2.54,0.426254158
1/3/2005,13.57777778,0,0.413976861
1/4/2005,14.475,17.78,0.868237971
1/5/2005,12.90277778,0.254,1.020580435
1/6/2005,11.7,8.382,1.012330423
1/7/2005,4.908333333,23.368,3.709375953
1/8/2005,9.294444444,7.62,5.274581272
1/9/2005,7.822222222,0,4.513591181
1/10/2005,8.82314815,0,2.326467862
1/11/2005,11.12777778,4.826,1.534583716
1/12/2005,14.84444444,0.254,1.397085553
1/13/2005,16.2,12.7,1.677592561
1/14/2005,3.811111111,0.762,1.998482067
1/15/2005,1.483333333,0,1.486145993
1/16/2005,-2.544444444,0,1.194542951
1/17/2005,-7.605555556,0,1.002257103
1/18/2005,-9.049722222,0,0.865049294
1/19/2005,-3.002777778,0,0.761838329
1/20/2005,2.513888889,1.016,0.651608833
1/21/2005,-1.247222222,0.254,0.597453396
1/22/2005,-1.258333333,7.874,0.89259277
1/23/2005,-9.7875,0,0.971163101
1/24/2005,-6.724722222,0.762,0.819421012
1/25/2005,-0.019444444,1.016,0.809642629
1/26/2005,4.661111111,1.524,0.754259897
1/27/2005,-2.113888889,0,0.721574576
1/28/2005,-2.336111111,0,0.648365518
1/29/2005,0.555555556,22.352,2.252751463
1/30/2005,2.513888889,0.508,3.071821197
1/31/2005,2.783333333,0,1.966495242
2/1/2005,2.694444444,0,1.469945379
2/2/2005,0.538888889,1.016,1.09747022
2/3/2005,2.336111111,3.556,0.996178177
2/4/2005,3.625,0,0.917882056
2/5/2005,5.402777778,0,0.802132911
2/6/2005,7.322222222,0,0.712996637
2/7/2005,8.352777778,1.27,0.642116171
2/8/2005,11.13055556,2.794,0.568522832
2/9/2005,9.586111111,3.556,0.538636302
2/10/2005,1.097222222,2.032,0.520435053
2/11/2005,-0.708333333,0,0.498950264
2/12/2005,4.266666667,0,0.462091205
2/13/2005,3.25,10.414,0.710947494
2/14/2005,9.127777778,5.334,0.931991439
2/15/2005,11.18611111,0,1.001204223
2/16/2005,5.361111111,4.318,0.884979838
2/17/2005,2.580555556,0,0.865682408
2/18/2005,0.658333333,0,0.762449902
2/19/2005,-0.486111111,0,0.681684442
2/20/2005,4.430555556,17.526,1.281274753
2/21/2005,11.03333333,4.318,1.938270086
2/22/2005,10.09444444,0,1.847595249
2/23/2005,6.902777778,0,1.409938932
2/24/2005,3.036111111,0.762,1.14624242
2/25/2005,1,0,0.968658794
2/26/2005,3.927777778,0,0.840216481
2/27/2005,5.402777778,0,0.742682906
2/28/2005,2.002777778,22.352,2.23991188
3/1/2005,-1.880555556,0.762,1.845315836
3/2/2005,-0.669444444,0.762,1.532465277
3/3/2005,-0.433333333,0,1.399114802
3/4/2005,3.908333333,0.254,1.136436694
3/5/2005,5.6,6.35,1.104906485
3/6/2005,7.883333333,0,1.192020171
3/7/2005,8.030555556,6.604,1.065136596
3/8/2005,3.811111111,8.636,1.6858915
3/9/2005,0.541666667,0.254,1.848827279
3/10/2005,0.344444444,0,1.404222868
3/11/2005,2.705555556,3.048,1.085587
3/12/2005,5.986111111,3.556,1.058912164
3/13/2005,3.05,0,1.051027707
3/14/2005,4.097222222,0,0.901367796
3/15/2005,3.802777778,0,0.789612707
3/16/2005,2.883333333,2.54,0.685234356
3/17/2005,5.802777778,0.254,0.652276989
3/18/2005,6.038888889,0,0.592694952
3/19/2005,6.5,0,0.543287882
3/20/2005,7.441666667,0,0.501625861
3/21/2005,6.780555556,0,0.46600112
3/22/2005,8.805555556,0.762,0.435177163
3/23/2005,12.62222222,7.874,0.42197221
3/24/2005,6.533333333,0,0.425487701
3/25/2005,12.55277778,0,0.39980473
3/26/2005,11.67777778,0,0.377006616
3/27/2005,11.85,2.54,0.349191534
3/28/2005,11.21666667,26.162,1.21697299
3/29/2005,13.49444444,0,1.195934416
3/30/2005,15.78055556,0,0.995975709
3/31/2005,15.08611111,6.858,0.866690895
4/1/2005,9.802777778,23.368,1.826151703
4/2/2005,5.513888889,18.288,8.51508589
4/3/2005,9.094444444,0,5.350340426
4/4/2005,13.01388889,0,2.435673079
4/5/2005,16.04166667,0,1.703238082
4/6/2005,17.89444444,0,1.326310921
4/7/2005,16.73333333,2.032,1.091579048
4/8/2005,16.06111111,0,0.929899232
4/9/2005,16.46111111,0,0.811200645
4/10/2005,17.94166667,2.54,0.720097174
4/11/2005,20.13333333,0,0.647834945
4/12/2005,14.64444444,8.636,0.599120064
4/13/2005,11.56944444,14.478,0.665814238
4/14/2005,13.6,0,0.677947857
4/15/2005,12.85,0,0.620146732
4/16/2005,13.18611111,0,0.566164214
4/17/2005,13.83333333,0,0.52099469
4/18/2005,17.10833333,0,0.482619676
4/19/2005,18.68333333,0,0.449597878
4/20/2005,18.61944444,0,0.420871544
4/21/2005,17.79166667,6.096,0.399916704
4/22/2005,18.45,8.382,0.406592052
4/23/2005,7.022222222,10.414,0.459901714
4/24/2005,3.936111111,3.556,0.443287816
4/25/2005,11.20555556,0,0.432923511
4/26/2005,10.1,6.604,0.424175641
4/27/2005,8.702777778,0.508,0.414831239
4/28/2005,8.036111111,3.302,0.387520682
4/29/2005,14.28611111,24.892,1.755136953
4/30/2005,12.26666667,34.036,11.74312178
5/1/2005,10.82222222,0,6.909219378
5/2/2005,8.494444444,0.508,2.515726743
5/3/2005,7.213888889,0,1.734009177
5/4/2005,9.683333333,0,1.344184377
5/5/2005,13.20833333,0,1.103389244
5/6/2005,15.29444444,0,0.938331308
5/7/2005,15.08333333,0,0.817543406
5/8/2005,18.51111111,0,0.725051921
5/9/2005,19.77777778,0,0.651818023
5/10/2005,20.47222222,0,0.592317239
5/11/2005,22.58611111,0,0.542971773
5/12/2005,21.61944444,0,0.501357266
5/13/2005,24.13888889,0.762,0.465769972
5/14/2005,20.97222222,3.048,0.43497607
5/15/2005,15.48888889,0,0.408059255
5/16/2005,11.76388889,0,0.384324273
5/17/2005,14.05555556,0,0.363233738
5/18/2005,18.45277778,0,0.344365525
5/19/2005,19.66944444,28.194,0.942814099
5/20/2005,19.74166667,3.556,0.47113357
5/21/2005,17.71944444,0,0.439730149
5/22/2005,16.79722222,7.62,0.429426887
5/23/2005,20.13333333,6.096,0.419916968
5/24/2005,13.53333333,0,0.408050297
5/25/2005,14.39166667,0,0.384316925
5/26/2005,17.86666667,0,0.363227184
5/27/2005,19.09722222,0,0.344359644
5/28/2005,18.48888889,0,0.327378006
5/29/2005,18.175,0,0.312010934
5/30/2005,19.25555556,0,0.298037023
5/31/2005,19.27777778,0,0.285273778
6/1/2005,17.54166667,2.032,0.273569397
6/2/2005,18.96111111,2.54,0.262796551
6/3/2005,20.94722222,20.066,0.338662265
6/4/2005,23.96666667,0,0.32170739
6/5/2005,24.30277778,0,0.306897656
6/6/2005,25.59444444,0,0.293372966
6/7/2005,23.86111111,0,0.281001861
6/8/2005,24.31111111,0.762,0.269641859
6/9/2005,25.59166667,0,0.259173117
6/10/2005,25.93611111,0,0.249494096
6/11/2005,23.83611111,7.112,0.241632912
6/12/2005,25.38055556,0.254,0.240384951
6/13/2005,24.83888889,0,0.232061361
6/14/2005,25.11388889,6.858,0.22520322
6/15/2005,22.48333333,0,0.222052419
6/16/2005,20.14722222,0,0.214928492
6/17/2005,18.51111111,0,0.208250556
6/18/2005,20.31111111,0,0.201978088
6/19/2005,20.01944444,0,0.196075076
6/20/2005,21.14166667,30.48,0.77613459
6/21/2005,21.78055556,0,0.290409062
6/22/2005,23.53888889,0,0.278389657
6/23/2005,21.89722222,0,0.267237755
6/24/2005,23.09166667,0,0.256953054
6/25/2005,23.75555556,0,0.247437602
6/26/2005,24.54444444,0,0.238607721
6/27/2005,23.78333333,3.302,0.230391495
6/28/2005,26.33611111,0,0.222726767
6/29/2005,25.37222222,8.128,0.216682562
6/30/2005,26.48333333,1.016,0.218007631
7/1/2005,25.98611111,23.876,0.618339637
